arm,fold,seed,run_id,status,result_files_found,predictions_found
S0,1,42,s0_f1_s42_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,1,1337,s0_f1_s1337_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,1,2026,s0_f1_s2026_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,2,42,s0_f2_s42_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,2,1337,s0_f2_s1337_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,2,2026,s0_f2_s2026_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,3,42,s0_f3_s42_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,3,1337,s0_f3_s1337_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S0,3,2026,s0_f3_s2026_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,1,42,s1_f1_s42_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,1,1337,s1_f1_s1337_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,1,2026,s1_f1_s2026_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,2,42,s1_f2_s42_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,2,1337,s1_f2_s1337_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,2,2026,s1_f2_s2026_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,3,42,s1_f3_s42_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,3,1337,s1_f3_s1337_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
S1,3,2026,s1_f3_s2026_l100,COMPLETE,state.json;test_report.json;test_predictions.csv;test_seal.json;pairing_proof.json;best.pt,True
