key,title,venue_year,url,relevance,search_date
VibFM,Learning the Language of Vibration: A Self-Supervised Transformer Foundation Model for PHM,PHM Society European Conference 2026,https://papers.phmsociety.org/index.php/phme/article/view/4912,masked spectrogram vibration foundation model; 16 datasets ~400 h; 128x128 log-STFT standardization + sampling-rate/resolution conditioning vector; leakage-resistant bearing-level Paderborn eval,2026-08-12
ECHO,ECHO: Frequency-aware Hierarchical Encoding for Variable-length Signals,arXiv:2508.14689 (v3 2026),https://arxiv.org/abs/2508.14689,"band-split (32-bin sub-bands, count ~ rate); seconds-specified STFT (25 ms/10 ms); NORMALIZED f/Nyquist positional encoding; per-band ViT + CLS concat (no cross-band interaction); EAT-style teacher-student; audio pretraining (AS2M/MTG/FS); evaluated on CWRU/MAFAULDA k-NN; 5.5M/22M params",2026-08-12
FISHER,FISHER: A Foundation Model for Multi-Modal Industrial Signal Comprehensive Representation,arXiv:2507.16696,https://arxiv.org/abs/2507.16696,fixed-duration STFT window/hop; predefined-bandwidth sub-bands processed individually; teacher-student self-distillation; RMIS benchmark; small models,2026-08-12
SSAMBA,SSAMBA: Self-Supervised Audio Representation Learning with Mamba State Space Model,IEEE SLT 2024 / arXiv:2405.11831,https://arxiv.org/abs/2405.11831,"bidirectional Mamba; SSAST-style joint discriminative+generative masked-patch pretraining; tiny/small/base; ~92.7% faster and ~95.4% less memory than SSAST (tiny, 22k tokens)",2026-08-12
AudioMamba,Audio Mamba: Selective State Spaces for Self-Supervised Audio Representations,Interspeech 2024 / arXiv:2406.02178,https://arxiv.org/abs/2406.02178,masked log-mel patch SSL with selective SSM; outperforms SSAST baselines; AudioSet pretraining,2026-08-12
SepTr,SepTr: Separable Transformer for Audio Spectrogram Processing,Interspeech 2022 / arXiv:2203.09581,https://arxiv.org/abs/2203.09581,sequential axis-separated attention (within-time then within-frequency); parameters scale linearly with input,2026-08-12
SpecTNT,SpecTNT: A Time-Frequency Transformer for Music Audio,ISMIR 2021 / arXiv:2110.09127,https://arxiv.org/abs/2110.09127,transformer-in-transformer: spectral encoder emits per-frame frequency class token; temporal transformer exchanges them across time; hierarchical spectral->temporal,2026-08-12
VibrMamba,VibrMamba: A lightweight Mamba based fault diagnosis of rotating machinery using vibration signal,Measurement 2025,https://www.sciencedirect.com/science/article/abs/pii/S0263224125002404,"supervised lightweight Mamba on 1D vibration; single-task fault diagnosis (no SSL, no multi-dataset pretraining)",2026-08-12
OpenMAE,OpenMAE: Efficient Masked Autoencoder for Vibration Sensing with Open-domain Data Enrichment,ACM IMWUT 2025,https://dl.acm.org/doi/10.1145/3729485,MAE pretraining on vibration with open-domain data enrichment; sensing focus,2026-08-12
SwinMSSL,Unsupervised Bearing Fault Diagnosis Using Masked Self-Supervised Learning and Swin Transformer,2025,https://www.researchgate.net/publication/395202165,masked SSL + Swin for bearing diagnosis (single-domain),2026-08-12
